product_category_name,sum_price
cool_stuff,635290.8516969681
pet_shop,214315.4100394249
moveis_decoracao,729762.4922962189
perfumaria,399124.8685836792
ferramentas_jardim,485256.4620256424
utilidades_domesticas,632248.6608705521
telefonia,323667.52939271927
beleza_saude,1258681.340969324
livros_tecnicos,19096.060108184814
fashion_bolsas_e_acessorios,152823.54040527344
cama_mesa_banho,1036988.6800355911
esporte_lazer,988048.9688892365
consoles_games,157465.2204079628
moveis_escritorio,273960.70111846924
malas_acessorios,140429.9797897339
alimentos,29393.409963607788
agro_industria_e_comercio,72530.46979904175
eletronicos,160246.73940825462
informatica_acessorios,911954.3174581528
construcao_ferramentas_construcao,144677.58987390995
audio,50688.49962043762
bebes,411764.8900375366
construcao_ferramentas_iluminacao,41080.00014305115
brinquedos,483946.6004548073
papelaria,230943.22987294197
industria_comercio_e_negocios,39669.61002922058
relogios_presentes,1205005.6775493622
automotivo,592720.1107084751
outros,179535.2797012329
eletrodomesticos,80171.53019571304
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37002372742
climatizacao,55024.95971488953
casa_conforto,58572.04043722153
telefonia_fixa,59582.99996805191
portateis_casa_forno_e_cafe,47445.71008014679
fraldas_higiene,1567.5899925231934
sinalizacao_e_seguranca,21509.230089187622
instrumentos_musicais,191498.88004875183
eletroportateis,190648.579996109
construcao_ferramentas_jardim,25715.89008331299
artes,24202.639976978302
casa_construcao,83088.11981487274
livros_interesse_geral,46856.88052940369
artigos_de_festas,4485.180006027222
construcao_ferramentas_seguranca,40544.51974487305
cine_foto,6933.459958076477
fashion_underwear_e_moda_praia,9541.550102233887
fashion_roupa_masculina,10797.8200340271
alimentos_bebidas,15179.4800491333
bebidas,22428.700048446655
moveis_sala,68916.55983161926
market_place,28378.470039367676
musica,6034.349970340729
fashion_calcados,23562.769931793213
flores,1110.0400066375732
eletrodomesticos_2,113317.73986434937
fashion_roupa_feminina,2803.6400108337402
pcs,222963.1298828125
livros_importados,4639.849992752075
artigos_de_natal,8800.82007265091
moveis_quarto,20028.77994632721
casa_conforto_2,760.2699966430664
portateis_cozinha_e_preparadores_de_alimentos,3968.5299968719482
dvds_blu_ray,5999.389982223511
cds_dvds_musicais,730
artes_e_artesanato,1814.0100049972534
moveis_colchao_e_estofado,4368.079982757568
tablets_impressao_imagem,7528.410045623779
construcao_ferramentas_ferramentas,15903.94997882843
fashion_esporte,2119.510019302368
la_cuisine,2054.9899978637695
pc_gamer,1545.9500274658203
seguros_e_servicos,283.2899932861328
fashion_roupa_infanto_juvenil,569.8500022888184
